43272.4601388889,+10.1,+8.4,+8.6,+10.0
43272.4608333333,+10.1,+8.4,+8.6,+10.0
43272.4615277778,+10.2,+8.4,+8.6,+10.0
43272.4622222222,+10.5,+8.4,+8.6,+10.0
43272.4629166667,+10.9,+8.4,+8.6,+10.0
43272.4636111111,+11.1,+8.4,+8.6,+10.0
43272.4643055556,+11.3,+8.4,+8.6,+10.0
43272.465,+11.7,+8.4,+8.6,+10.0
43272.4656944444,+12.0,+8.4,+8.6,+10.0
43272.4663888889,+12.5,+8.4,+8.6,+10.0
43272.4670833333,+13.0,+8.4,+8.6,+10.0
43272.4677777778,+13.6,+8.4,+8.5,+10.0
43272.4684722222,+14.8,+8.4,+8.6,+10.0
43272.4691666667,+15.7,+8.4,+8.5,+10.0
43272.4698611111,+16.1,+8.4,+8.6,+10.0
43272.4705555556,+16.3,+8.4,+8.6,+10.0
43272.47125,+16.5,+8.4,+8.6,+10.0
43272.4719444444,+16.7,+8.4,+8.6,+10.0
43272.4726388889,+17.2,+8.4,+8.6,+10.0
43272.4733333333,+17.5,+8.4,+8.6,+10.0
43272.4740277778,+17.8,+8.4,+8.6,+10.0
43272.4747222222,+18.0,+8.4,+8.6,+10.0
43272.4754166667,+18.1,+8.4,+8.6,+10.0
43272.4761111111,+18.0,+8.4,+8.6,+10.0
43272.4768055556,+17.9,+8.4,+8.6,+10.0
43272.4775,+17.8,+8.4,+8.6,+10.0
43272.4781944444,+17.7,+8.4,+8.6,+10.0
43272.4788888889,+17.6,+8.4,+8.6,+10.0
43272.4795833333,+17.5,+8.4,+8.6,+10.0
43272.4802777778,+17.5,+8.4,+8.6,+10.0
43272.4809722222,+17.4,+8.4,+8.6,+10.0
43272.4816666667,+17.4,+8.4,+8.6,+10.0
43272.4823611111,+17.3,+8.4,+8.6,+10.0
43272.4830555556,+17.3,+8.4,+8.6,+10.0
43272.48375,+17.3,+8.4,+8.6,+10.0
43272.4844444444,+17.3,+8.4,+8.6,+10.0
43272.4851388889,+17.3,+8.4,+8.6,+10.0
43272.4858333333,+17.2,+8.4,+8.6,+10.0
43272.4865277778,+17.2,+8.4,+8.6,+10.0
43272.4872222222,+17.2,+8.4,+8.6,+10.0
43272.4879166667,+17.2,+8.4,+8.6,+10.0
43272.4886111111,+17.2,+8.4,+8.6,+10.0
43272.4893055556,+17.2,+8.4,+8.6,+10.0
43272.49,+17.2,+8.4,+8.6,+10.0
43272.4906944444,+17.2,+8.4,+8.6,+10.0
43272.4913888889,+17.2,+8.4,+8.6,+10.0
43272.4920833333,+17.1,+8.4,+8.6,+10.0
43272.4927777778,+17.1,+8.4,+8.6,+10.0
43272.4934722222,+17.1,+8.4,+8.6,+10.0
43272.4941666667,+17.1,+8.4,+8.6,+10.0
43272.4948611111,+17.1,+8.4,+8.6,+10.0
43272.4955555556,+17.1,+8.4,+8.6,+10.0
43272.49625,+17.1,+8.4,+8.6,+10.0
43272.4969444444,+17.1,+8.4,+8.6,+10.0
43272.4976388889,+17.1,+8.4,+8.6,+10.0
43272.4983333333,+17.1,+8.4,+8.6,+10.0
43272.4990277778,+17.1,+8.4,+8.6,+10.0
43272.4997222222,+17.1,+8.4,+8.6,+10.0
43272.5004166667,+17.1,+8.4,+8.6,+10.0
43272.5011111111,+17.1,+8.4,+8.6,+10.0
43272.5018055556,+17.1,+8.4,+8.6,+10.0
43272.5025,+17.1,+8.4,+8.6,+10.0
43272.5031944444,+17.6,+8.4,+8.6,+10.0
43272.5038888889,+17.8,+8.4,+8.6,+10.0
43272.5045833333,+17.9,+8.4,+8.6,+10.0
43272.5052777778,+18.1,+8.4,+8.6,+10.0
43272.5059722222,+18.2,+8.4,+8.6,+10.0
43272.5066666667,+18.7,+8.4,+8.6,+10.0
43272.5073611111,+18.9,+8.4,+8.6,+10.0
43272.5080555556,+19.0,+8.4,+8.6,+10.0
43272.50875,+19.1,+8.4,+8.6,+10.0
